Summary
Percent correct,98.29070650797671
Percent positive,4.912636110407698
Percent negative,95.0873638895923
Percent positive correct,86.85567010309279
Percent negative correct,98.8814913448735
False positive percentage,1.063560395036718
False negative percentage,0.6457330969865789

Prediction,Target,Variance,,Is correct,False positive,False Negative
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
1,1,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
1,1,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
1,1,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
0,0,0,,True,0,0
1,1,0,,True,0,0
